immigration_status,employed
immigration_status,employed
PR,yes
PR,yes
PR,no
PR,yes
work permit,yes
work permit,no
PR,yes
work permit,no
PR,yes
PR,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
work permit,yes
PR,yes
work permit,no
work permit,no
work permit,yes
work permit,yes
PR,yes
work permit,no
work permit,yes
PR,no
work permit,yes
work permit,yes
work permit,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
work permit,yes
work permit,yes
work permit,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
work permit,no
work permit,yes
work permit,yes
PR,yes
work permit,no
work permit,yes
work permit,yes
work permit,yes
work permit,no
PR,yes
work permit,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes
work permit,no
work permit,yes
PR,yes
work permit,yes
PR,yes
work permit,yes
PR,yes
work permit,yes
PR,yes
work permit,yes
work permit,yes


